epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,6936.58,1.77054,2.18786,1.51552,0.7978,0.25202,0.31092,0.13019,0.21789,1.78414,0.22452,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7042.6,1.73143,2.19626,1.50247,0.79251,0.25865,0.30887,0.12678,0.22225,1.7093,0.22984,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7147.79,1.75388,2.21176,1.535,0.78073,0.27419,0.30815,0.13013,0.21864,2.34752,0.22556,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7252.79,1.77212,2.11301,1.56073,0.8011,0.26815,0.31891,0.13449,0.22084,1.84204,0.22712,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7357.83,1.78989,2.21864,1.54692,0.81608,0.24597,0.32153,0.14124,0.21682,1.59076,0.2249,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7463.54,1.78567,2.26223,1.54417,0.79041,0.27016,0.30857,0.13302,0.2184,1.48244,0.22722,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7568.13,1.78477,2.18759,1.54866,0.77405,0.25202,0.29883,0.13197,0.21761,1.37288,0.22635,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7673.26,1.76399,2.2005,1.54209,0.7536,0.26411,0.28634,0.12266,0.21668,1.7754,0.2248,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7778.3,1.75418,2.14975,1.54937,0.77186,0.25466,0.31319,0.13175,0.2195,1.54143,0.22642,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7883.42,1.74523,2.18313,1.50751,0.76013,0.26411,0.29546,0.12626,0.22201,1.90108,0.22885,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7988.88,1.76123,2.23015,1.52851,0.78598,0.25592,0.30912,0.13475,0.21901,1.72731,0.22555,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8094.28,1.71772,2.12076,1.50502,0.7703,0.26008,0.30107,0.1332,0.2186,1.77051,0.22589,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8199.52,1.7269,2.05283,1.50259,0.75524,0.28024,0.30224,0.13076,0.22153,1.83366,0.22746,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8304.61,1.7753,2.06976,1.54674,0.78159,0.28024,0.31749,0.14539,0.21764,1.9638,0.22461,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8410.02,1.74363,2.06444,1.53204,0.76547,0.28629,0.3124,0.13686,0.22052,1.84987,0.22636,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8515.32,1.71632,2.04096,1.50139,0.78644,0.26815,0.32184,0.13374,0.22434,1.79151,0.22967,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8620.34,1.77385,2.0834,1.52364,0.80038,0.26393,0.31407,0.13554,0.22314,2.4343,0.22999,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8725.1,1.72009,2.10251,1.52597,0.78771,0.2705,0.31759,0.13573,0.22238,2.21202,0.22992,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8830.11,1.68261,2.03792,1.46937,0.79383,0.27298,0.32698,0.14328,0.22204,1.54368,0.22866,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8935.41,1.70616,1.98117,1.52807,0.78326,0.27621,0.3278,0.14434,0.22096,1.47616,0.22787,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9040.79,1.63612,1.91018,1.43883,0.80581,0.26987,0.32778,0.14302,0.22268,1.33634,0.22952,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9145.53,1.62783,2.03594,1.44445,0.79071,0.27218,0.32978,0.14503,0.21989,1.34606,0.22655,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9250.64,1.73579,2.03556,1.50664,0.8048,0.25605,0.33347,0.14314,0.22134,1.35287,0.22754,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9355.59,1.66958,1.99706,1.49338,0.79814,0.27621,0.33457,0.14621,0.21976,1.46179,0.22643,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9460.38,1.70685,2.07085,1.50186,0.81097,0.28024,0.33896,0.14955,0.21976,1.35718,0.22564,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9565.72,1.41407,1.68246,1.36694,0.79098,0.28024,0.33426,0.1474,0.22057,1.02008,0.22646,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9669.76,1.3757,1.56577,1.35156,0.79345,0.27785,0.33424,0.14632,0.22196,1.02058,0.22789,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9773.76,1.36047,1.58046,1.33064,0.80685,0.27419,0.3344,0.14644,0.22157,0.97406,0.22708,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9877.87,1.40966,1.59095,1.3928,0.80589,0.2621,0.34119,0.14937,0.22269,0.96836,0.22822,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9981.88,1.39645,1.52111,1.35605,0.7888,0.2812,0.34066,0.1497,0.22191,0.94454,0.22801,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10085.8,1.37015,1.58202,1.33897,0.77746,0.28024,0.33639,0.1492,0.22225,0.8317,0.22818,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10190,1.35614,1.53372,1.32112,0.79738,0.27419,0.33702,0.15153,0.22218,0.87973,0.22856,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10294.1,1.30124,1.45578,1.2869,0.79498,0.27268,0.34061,0.15047,0.22211,0.8884,0.22838,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10398.9,1.35238,1.49799,1.33465,0.79924,0.28024,0.3401,0.14953,0.22362,0.85385,0.22989,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10503.1,1.38511,1.54766,1.35202,0.79973,0.28024,0.34413,0.15078,0.22417,0.86511,0.23017,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
