epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,3351.78,1.82213,2.17908,0.01918,0.76065,0.22581,0.29785,0.12808,0.22373,0.33044,0.00278,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3411.35,1.80156,2.09106,0.01844,0.76017,0.25403,0.31246,0.12919,0.22666,0.28478,0.00287,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3470.77,1.75105,2.15531,0.01779,0.78199,0.24395,0.30976,0.1243,0.22651,0.34898,0.00291,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3530.36,1.75451,2.16133,0.01915,0.75081,0.26613,0.28026,0.11203,0.22714,0.51986,0.00297,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3589.68,1.74663,2.08437,0.01849,0.74765,0.28095,0.295,0.127,0.22888,0.39225,0.00294,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3649.35,1.75205,2.1369,0.01841,0.78156,0.25806,0.29898,0.12471,0.21945,0.29835,0.00276,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3709.33,1.78799,2.16408,0.01817,0.74783,0.25202,0.25707,0.09747,0.23403,0.72111,0.00307,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3769,1.81728,2.13261,0.01868,0.73465,0.28169,0.29032,0.12257,0.22348,0.42034,0.00284,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3828.79,1.7657,2.04101,0.01904,0.80103,0.2379,0.31162,0.1388,0.21864,0.34594,0.00273,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3887.96,1.75718,2.00649,0.01834,0.76474,0.24597,0.292,0.12168,0.22258,0.5002,0.00287,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3947.34,1.71961,2.04281,0.01856,0.72756,0.29435,0.29173,0.12153,0.22105,0.53634,0.00282,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4007.23,1.74306,2.08793,0.01848,0.77268,0.25636,0.28227,0.12236,0.21781,0.36477,0.00276,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4066.9,1.72559,2.0353,0.01788,0.74886,0.24374,0.27232,0.11279,0.22544,0.61726,0.0029,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4126.95,1.69884,1.99169,0.01802,0.75746,0.26753,0.29205,0.12829,0.21628,0.34844,0.00274,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4186.58,1.69568,2.01543,0.0172,0.76692,0.24194,0.2975,0.12624,0.22197,0.70146,0.00287,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4245.89,1.70757,2.07274,0.01755,0.75864,0.25403,0.3005,0.12898,0.21831,0.49608,0.00276,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4305.67,1.69608,2.03939,0.01774,0.78115,0.26008,0.31516,0.13651,0.21776,0.31364,0.00275,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4364.94,1.74324,1.98581,0.01852,0.75354,0.26008,0.29601,0.12418,0.22443,0.38862,0.00288,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4424.39,1.65175,1.96489,0.01716,0.75114,0.26411,0.30401,0.1385,0.21862,0.29091,0.00275,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4483.69,1.7418,2.02962,0.01794,0.78213,0.26613,0.3149,0.13567,0.21753,0.33065,0.00273,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4542.89,1.71646,1.95941,0.01753,0.80288,0.28629,0.32568,0.13779,0.22266,0.37723,0.0028,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4602.37,1.70566,1.92942,0.01728,0.78816,0.26329,0.32097,0.14363,0.22586,0.31465,0.00287,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4662.55,1.67238,1.98853,0.01781,0.82836,0.25843,0.32428,0.14068,0.21669,0.35557,0.00272,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4721.85,1.63955,1.86844,0.01681,0.78401,0.28024,0.32446,0.1401,0.21849,0.3737,0.00275,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4780.85,1.62585,1.873,0.01776,0.75458,0.29071,0.32286,0.14487,0.21774,0.33026,0.00275,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4839.59,1.69298,1.88704,0.01772,0.77987,0.28629,0.32154,0.14314,0.21519,0.29919,0.0027,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4899.75,1.68948,1.88673,0.01783,0.76391,0.28622,0.3104,0.13816,0.21801,0.34603,0.00277,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4959.08,1.69272,1.93151,0.01744,0.75257,0.28812,0.3134,0.13639,0.21859,0.37975,0.00278,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5018.56,1.64519,1.87325,0.01734,0.76061,0.28629,0.3141,0.13558,0.22322,0.44085,0.00286,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5077.98,1.58783,1.85568,0.01658,0.76046,0.30242,0.33041,0.14278,0.22215,0.38742,0.00283,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5137.55,1.63637,1.85039,0.0168,0.7755,0.2771,0.33714,0.14928,0.21876,0.33085,0.00279,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5196.95,1.60995,1.88946,0.01641,0.77049,0.28226,0.32886,0.14404,0.21771,0.35399,0.00273,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5256.6,1.59389,1.77235,0.01615,0.80419,0.27419,0.33142,0.14816,0.22011,0.30948,0.00278,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5316.36,1.6497,1.78693,0.01643,0.78686,0.28024,0.32682,0.14556,0.21959,0.32995,0.00278,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5375.85,1.57384,1.75706,0.01608,0.78513,0.28091,0.33266,0.15134,0.21753,0.32281,0.00273,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5435.5,1.61971,1.80002,0.01662,0.78778,0.28629,0.33013,0.14939,0.21715,0.32813,0.00273,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5504.37,1.30623,1.32922,0.01721,0.78789,0.29032,0.32962,0.14663,0.22339,0.30951,0.00285,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5561.91,1.23722,1.29751,0.01595,0.80265,0.26411,0.33273,0.14695,0.2243,0.30473,0.00285,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5620.94,1.2272,1.26761,0.01628,0.78574,0.28024,0.3478,0.15251,0.22317,0.2996,0.00282,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5679.21,1.27904,1.29288,0.01683,0.81076,0.27218,0.33856,0.14747,0.22166,0.29567,0.00279,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5736.95,1.23675,1.25449,0.01602,0.82265,0.26008,0.33585,0.14853,0.22413,0.297,0.00283,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5794.75,1.27481,1.28917,0.01643,0.81934,0.2621,0.3364,0.15011,0.22371,0.29295,0.00283,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5852.87,1.21102,1.27106,0.01519,0.82615,0.2621,0.34014,0.15093,0.22327,0.28578,0.00282,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5910.58,1.20747,1.20211,0.01555,0.82684,0.26815,0.34339,0.15242,0.22371,0.28435,0.00283,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5968.1,1.21794,1.217,0.01602,0.82645,0.27016,0.34422,0.15298,0.22611,0.28806,0.00286,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6026.1,1.28323,1.1968,0.01719,0.82392,0.2621,0.34272,0.15189,0.22891,0.28783,0.00291,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
