epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,7284.48,1.9848,2.61727,1.66581,0.63064,0.31452,0.22114,0.08109,0.23073,5.1386,0.23841,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7430.31,1.89055,2.59285,1.62649,0.70878,0.21774,0.24982,0.10117,0.226,1.51192,0.23118,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7575.88,1.92472,2.59585,1.6709,0.70495,0.21976,0.23763,0.1024,0.22315,1.78412,0.22928,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7720.89,1.87371,2.39138,1.58391,0.7104,0.2379,0.24642,0.10151,0.22504,1.66916,0.22943,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7863.79,1.87917,2.45865,1.59975,0.73468,0.23185,0.25655,0.10648,0.2298,1.42023,0.23214,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8007.39,1.86008,2.4761,1.58432,0.71424,0.25806,0.25198,0.09632,0.23029,4.64769,0.23807,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8153.41,1.91921,2.42204,1.64568,0.74966,0.23726,0.27902,0.11521,0.22718,2.43601,0.23201,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8299.61,1.84783,2.38437,1.61765,0.75257,0.22984,0.26654,0.11726,0.22562,2.52637,0.23186,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8444.36,1.87428,2.44734,1.59788,0.73855,0.22782,0.27298,0.12,0.22454,2.40262,0.23086,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8589.77,1.88725,2.49354,1.61908,0.72919,0.21976,0.26265,0.11237,0.22458,2.20214,0.23048,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8734.51,1.87393,2.40243,1.61456,0.74589,0.23216,0.27183,0.12044,0.22053,1.71787,0.22714,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8879.88,1.83123,2.39003,1.57846,0.73356,0.25403,0.25907,0.10897,0.22022,1.20659,0.22739,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9025.85,1.89266,2.39035,1.61915,0.76546,0.23992,0.27653,0.11585,0.22078,1.71439,0.2272,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9172.16,1.86511,2.36174,1.60445,0.75525,0.25605,0.28816,0.12011,0.22618,3.74543,0.23214,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9316.37,1.84672,2.34305,1.57668,0.75679,0.25119,0.28667,0.12361,0.22041,2.11109,0.2258,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9461.66,1.82545,2.26484,1.58581,0.79793,0.23483,0.27461,0.11716,0.22483,2.4617,0.22976,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9607.04,1.8006,2.26506,1.53959,0.76268,0.23209,0.28584,0.11905,0.22304,1.81076,0.22785,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9751.83,1.76693,2.27439,1.53141,0.7853,0.23308,0.29687,0.12613,0.22758,1.47416,0.2316,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
